"Date","Longitude","Latitude","sub_sand","sub_rock","sub_mud","sub_mix","sub_coarse","depth_mean","depth_min","depth_max","beamAttn","current_u","current_v","DO","pH","pp","salinity","temperature"
2006-11-27,-8.304,51.5253,0,0,1,0,0,84.9257888793945,83.1999969482422,89,0.165996551513672,-0.0390000008046627,0.0210000015795231,230.040008544922,7.98001098632813,0,35.1889991760254,10.3969993591309
2006-11-28,-6.7198,51.7719,0.863560020923615,0,0.136439993977547,0,0,70.367561340332,70,71.7300033569336,0.157997131347656,-0.0350000001490116,-0.00100000004749745,237.75,8.05999755859375,-1.239990234375,35.1139984130859,12.3939990997314
2006-11-28,-6.5376,51.7766,0,0,1,0,0,69.5357666015625,68.1600036621094,71,0.159996032714844,-0.0329999998211861,-0.0120000001043081,237.360000610352,8.05999755859375,-1.22000122070313,35.0890007019043,12.4609994888306
2006-11-28,-10.045,51.509,0.0787760838866234,0,0.921223938465118,0,0,68.4436798095703,68,69,0.167999267578125,-0.0150000005960464,0.00700000021606684,242.110000610352,8.02001953125,-1.1199951171875,34.9900016784668,10.9099988937378
2006-11-28,-9.646,51.457,0,0,0,0,0,41.9597587585449,16.808874130249,47,0.167999267578125,0.00100000004749745,0,247.559997558594,8.04000854492188,-0.019989013671875,34.9420013427734,10.5669994354248
2006-11-28,-5.8544,51.7601,0,0,0,0,1,117.255706787109,114.180000305176,118.870002746582,0.149997711181641,-0.0280000008642674,-0.068000003695488,234.600006103516,8.05999755859375,-1.19998168945313,35.2330017089844,12.7829990386963
2006-11-29,-10.33,52.019,1,0,0,0,0,53.8976898193359,50.2000007629395,58.2000007629395,0.229999542236328,-0.00900000054389238,-0.0100000007078052,242.190002441406,8.08001708984375,-3.22000122070313,34.7080001831055,10.9819993972778
2006-11-29,-5.2657,51.4487,1,0,0,0,0,64.5971755981445,63.689998626709,65.2600021362305,0.195999145507813,-0.0160000007599592,-0.0240000002086163,234.559997558594,8.08001708984375,-1.39999389648438,35.1510009765625,12.9859991073608
2006-11-29,-10.645,51.975,1,0,0,0,0,88.1667556762695,83.1999969482422,92.5999984741211,0.175998687744141,-0.0990000069141388,0.0270000007003546,246.100006103516,8.04000854492188,-1.31997680664063,34.9039993286133,10.9779996871948
2006-11-29,-10.764,51.853,1,0,0,0,0,123.740791320801,116.599998474121,130.399993896484,0.153999328613281,-0.0380000025033951,0.0640000030398369,234.679992675781,8,-0.079986572265625,35.2810020446777,10.5919990539551
2006-11-30,-5.7729,51.4035,1,0,0,0,0,82.6440811157227,81.5859375,83.98828125,0.143997192382813,-0.00300000002607703,0.0020000000949949,234.300003051758,8.05999755859375,-1.33999633789063,35.2439994812012,13.1109991073608
2006-12-01,-9.821,52.543,1,0,0,0,0,24.6616458892822,18.7999992370605,32.5999984741211,0.191997528076172,0.0160000007599592,0,283.160003662109,8.20001220703125,2.04000854492188,29.9699993133545,11.46399974823
2006-12-01,-8.0863,50.658,1,0,0,0,0,112.800498962402,103.839996337891,116.199996948242,0.149997711181641,-0.0100000007078052,0.0220000017434359,233.290008544922,8.02001953125,-0.019989013671875,35.3050003051758,10.9179992675781
2006-12-02,-8.3121,49.5513,1,0,0,0,0,130.524520874023,121.199996948242,135.399993896484,0.0959968566894531,-0.0290000010281801,-0.0290000010281801,230.570007324219,8.02001953125,-0.019989013671875,35.4679985046387,11.0459995269775
2006-12-02,-7.2988,49.6254,1,0,0,0,0,120.870780944824,117.107315063477,124.203125,0.109996795654297,-0.0280000008642674,-0.0290000010281801,228.639999389648,8.04000854492188,-0.079986572265625,35.4860000610352,12.0599994659424
2007-01-23,8.5477,57.4162,1,0,0,0,0,41.4339790344238,36.5345306396484,48.3295745849609,0.1719970703125,0.215000003576279,0.122000008821487,270.109985351563,8.08001708984375,-0.0999755859375,34.6349983215332,7.60099935531616
2007-01-23,8.5388,57.4543,1,0,0,0,0,50.4433631896973,43.1020202636719,59.7605476379395,0.151996612548828,0.256000012159348,0.158000007271767,271.070007324219,8.08001708984375,-0.1199951171875,34.9329986572266,7.38299894332886
2007-01-24,9.7947,57.7583,1,0,0,0,0,36.9822578430176,33.6602287292481,44.0933113098145,0.179996490478516,-0.063000001013279,-0.0760000050067902,270.869995117188,8.08001708984375,-0.079986572265625,34.7360000610352,6.9739990234375
2007-02-02,1.105,51.0107,1,0,0,0,0,22.8206367492676,20.4099998474121,24.7199993133545,0.221996307373047,-0.0270000007003546,-0.0190000012516975,260.369995117188,8.10000610351563,-1.16000366210938,35.1590003967285,8.68899917602539
2007-02-03,1.7195,51.2641,2.09944428206654e-05,0,0,0,0.999979019165039,41.7595367431641,38.8300018310547,48.7200012207031,0.249996185302734,-0.0390000008046627,-0.183000013232231,260.429992675781,8.10000610351563,-1.5999755859375,35.1259994506836,8.86699962615967
2007-02-03,2.153,51.662,0,0,0,0,1,46.5590133666992,42.9700012207031,49.9300003051758,0.213996887207031,-0.0280000008642674,-0.0430000014603138,256.220001220703,8.08001708984375,-0.759979248046875,35.2089996337891,9.12599945068359
2007-02-04,1.9416,52.1042,0,0,0,0,1,33.0680847167969,25.0599994659424,36.75,0.319995880126953,0.00400000018998981,0.00100000004749745,265.309997558594,8.08001708984375,-1.5,34.8129997253418,7.60499906539917
2007-02-04,1.9221,52.512,0,0,0,0,1,28.4869365692139,25.2399997711182,32.5299987792969,0.273998260498047,-0.00400000018998981,0.0100000007078052,281.239990234375,8.08001708984375,-1.55999755859375,34.0960006713867,6.28699922561646
2007-02-04,2.3131,52.7045,0.388713359832764,0,0.611286640167236,0,0,42.0219612121582,29.0100002288818,50.6100006103516,0.249996185302734,0.0120000001043081,0.00400000018998981,278.329986572266,8.08001708984375,-1.91998291015625,34.3400001525879,6.89299917221069
2007-02-05,0.9376,53.8397,0,0,0,0,1,36.6778755187988,29.4599990844727,39.3300018310547,0.173995971679688,0.00100000004749745,-0.0100000007078052,272.040008544922,8.08001708984375,-0.699981689453125,34.8320007324219,7.19699907302856
2007-02-05,1.2959,53.9705,1,0,0,0,0,37.110050201416,32.9199981689453,39,0.181999206542969,-0.0120000001043081,-0.00400000018998981,272.140014648438,8.08001708984375,-0.79998779296875,34.8489990234375,7.1449990272522
2007-02-06,6.3286,55.9386,1,0,0,0,0,42.6313209533691,42.4609718322754,42.7997283935547,0.199996948242188,0.00700000021606684,0.0460000038146973,273.119995117188,8.10000610351563,-1.51998901367188,34.8030014038086,7.0839991569519
2007-02-06,6.0579,56.1393,0.957753360271454,0,0.0422466211020947,0,0,39.5588340759277,37.5534019470215,42.1945686340332,0.197998046875,0.0110000008717179,0.0400000028312206,272.630004882813,8.08001708984375,-1.89999389648438,34.7939987182617,7.01499891281128
2007-02-07,10.1125,57.738,1,0,0,0,0,73.1429061889649,37.5984802246094,89.1106719970703,0.217330932617188,0.00833333376795054,-0.0246666669845581,280.546661376953,8.10667896270752,-0.526662170886993,34.0166664123535,6.06433248519898
2007-02-07,6.699,54.7485,0.15510530769825,0,0.844894707202911,0,0,39.9090270996094,39.5907897949219,40.352237701416,0.203998565673828,0.00800000037997961,0.0600000023841858,271.730010986328,8.1400146484375,-0.739990234375,34.2880020141602,7.26399898529053
2007-02-11,4.2822,53.2856,1,0,0,0,0,27.6486759185791,26.8799991607666,28.7399997711182,0.209999084472656,0.135000005364418,0.234000012278557,272.130004882813,8.12002563476563,-0.819976806640625,34.9949989318848,7.12099933624268
2007-02-13,5.4919,54.1603,0.00343006826005876,0,0.996569931507111,0,0,38.7608757019043,38.4300003051758,39.1800003051758,0.199996948242188,0.0530000030994415,0.125,272.070007324219,8.08001708984375,-0.8599853515625,34.806999206543,6.78799915313721
2007-02-15,2.546,54.1411,0,0,1,0,0,62.3800582885742,59.1162376403809,64.0792922973633,0.183998107910156,-0.0320000015199184,0.00800000037997961,272.320007324219,8.08001708984375,-0.53997802734375,34.9340019226074,6.92099905014038
2007-02-16,6.5848,56.1848,1,0,0,0,0,38.7860145568848,38.5539016723633,38.9801254272461,0.191997528076172,0.00800000037997961,0.0240000002086163,277.109985351563,8.10000610351563,-0.459991455078125,34.7299995422363,6.25399923324585
2007-02-17,7.5569,56.6664,1,0,0,0,0,27.9758243560791,27.3484649658203,28.9890041351318,0.209999084472656,0.0620000027120113,0.14300000667572,282.829986572266,8.08001708984375,-0.29998779296875,34.5260009765625,5.54299926757813
2007-02-18,6.8571,56.5551,0.162890672683716,0,0,0,0.837109327316284,42.6563682556152,39.6962814331055,45.3783264160156,0.197998046875,-0.00400000018998981,0.034000001847744,278.790008544922,8.08001708984375,-0.5999755859375,34.7599983215332,6.14099931716919
2007-02-20,2.6146,54.1509,0.0646957531571388,0,0.935304224491119,0,0,60.6267585754395,57.1014633178711,65.9577941894531,0.185997009277344,-0.0220000017434359,-0.00900000054389238,272.559997558594,8.08001708984375,-0.720001220703125,34.9500007629395,6.94999933242798
2007-08-11,1.7433,51.7357,0,0,0,0.999265551567078,0.00073447718750685,30.5114669799805,24.9400005340576,40.7400016784668,0.181999206542969,0.00100000004749745,-0.0200000014156103,225.070007324219,8.05999755859375,1.70001220703125,34.7130012512207,18.1630001068115
2007-08-13,5.565,54.5957,0,0,1,0,0,42.8067932128906,42.4190864562988,43.2228736877441,0.113998413085938,0.0140000004321337,0.0310000013560057,233.470001220703,8.10000610351563,3.10000610351563,34.5830001831055,16.5970001220703
2007-08-14,2.6657,54.5262,1,0,0,0,0,20.6185398101807,18.898193359375,23.0776996612549,0.101997375488281,0.0350000001490116,0.0360000021755695,233.220001220703,8.1400146484375,-0.03997802734375,34.9150009155273,16.9610004425049
2007-08-14,3.7726,53.1272,1,0,0,0,0,26.3981647491455,24.9799995422363,27.7199993133545,0.143997192382813,0.0470000021159649,0.0590000040829182,226.410003662109,8.04000854492188,1.72000122070313,34.7290000915527,17.6919994354248
2007-08-16,5.5602,54.6315,0,0,1,0,0,43.2215843200684,43.0605659484863,43.4096221923828,0.115997314453125,0.0390000008046627,0.0460000038146973,231.440002441406,8.10000610351563,1.3800048828125,34.7550010681152,16.8689994812012
